t,H,L,R
43.7000,64.9032,0.0020,5.0080
43.8000,65.3421,0.0021,4.9582
43.9000,65.7826,0.0022,4.9089
44.0000,66.2245,0.0024,4.8601
44.1000,66.6679,0.0025,4.8118
44.2000,67.1127,0.0026,4.7639
44.3000,67.5590,0.0028,4.7165
44.4000,68.0067,0.0029,4.6696
44.5000,68.4558,0.0031,4.6232
44.6000,68.9063,0.0033,4.5772
44.7000,69.3582,0.0035,4.5317
44.8000,69.8115,0.0037,4.4866
44.9000,70.2661,0.0039,4.4420
45.0000,70.7220,0.0041,4.3979
45.1000,71.1792,0.0044,4.3541
45.2000,71.6376,0.0047,4.3109
45.3000,72.0974,0.0049,4.2680
45.4000,72.5584,0.0052,4.2256
45.5000,73.0205,0.0056,4.1836
45.6000,73.4839,0.0059,4.1420
45.7000,73.9485,0.0063,4.1008
45.8000,74.4142,0.0067,4.0601
45.9000,74.8810,0.0071,4.0197
46.0000,75.3489,0.0076,3.9798
46.1000,75.8179,0.0081,3.9403
46.2000,76.2880,0.0086,3.9011
46.3000,76.7591,0.0092,3.8624
46.4000,77.2311,0.0098,3.8240
46.5000,77.7042,0.0105,3.7861
46.6000,78.1782,0.0112,3.7485
46.7000,78.6530,0.0120,3.7112
46.8000,79.1288,0.0128,3.6744
46.9000,79.6054,0.0137,3.6379
47.0000,80.0828,0.0147,3.6019
47.1000,80.5610,0.0157,3.5661
47.2000,81.0400,0.0169,3.5308
47.3000,81.5196,0.0181,3.4957
47.4000,81.9999,0.0194,3.4611
47.5000,82.4808,0.0208,3.4268
47.6000,82.9623,0.0223,3.3928
47.7000,83.4444,0.0240,3.3592
47.8000,83.9269,0.0258,3.3260
47.9000,84.4099,0.0277,3.2931
48.0000,84.8932,0.0298,3.2605
48.1000,85.3769,0.0321,3.2282
48.2000,85.8608,0.0346,3.1963
48.3000,86.3450,0.0372,3.1648
48.4000,86.8293,0.0401,3.1335
48.5000,87.3137,0.0433,3.1026
48.6000,87.7981,0.0467,3.0720
48.7000,88.2824,0.0504,3.0417
48.8000,88.7665,0.0544,3.0118
48.9000,89.2504,0.0588,2.9821
49.0000,89.7339,0.0636,2.9528
49.1000,90.2170,0.0688,2.9238
49.2000,90.6995,0.0745,2.8952
49.3000,91.1813,0.0806,2.8668
49.4000,91.6623,0.0873,2.8387
49.5000,92.1423,0.0947,2.8110
49.6000,92.6212,0.1026,2.7836
49.7000,93.0987,0.1114,2.7565
49.8000,93.5749,0.1209,2.7297
49.9000,94.0493,0.1313,2.7032
50.0000,94.5219,0.1426,2.6770
50.1000,94.9923,0.1550,2.6512
50.2000,95.4604,0.1686,2.6257
50.3000,95.9258,0.1834,2.6004
50.4000,96.3882,0.1997,2.5756
50.5000,96.8474,0.2175,2.5510
50.6000,97.3029,0.2369,2.5268
50.7000,97.7543,0.2583,2.5029
50.8000,98.2012,0.2817,2.4793
50.9000,98.6432,0.3073,2.4561
51.0000,99.0796,0.3355,2.4332
51.1000,99.5099,0.3664,2.4107
51.2000,99.9335,0.4003,2.3885
51.3000,100.3496,0.4375,2.3667
51.4000,100.7576,0.4784,2.3453
51.5000,101.1565,0.5234,2.3243
51.6000,101.5453,0.5728,2.3037
51.7000,101.9232,0.6271,2.2835
51.8000,102.2889,0.6868,2.2638
51.9000,102.6412,0.7525,2.2445
52.0000,102.9788,0.8248,2.2256
52.1000,103.3001,0.9043,2.2073
52.2000,103.6035,0.9918,2.1895
52.3000,103.8871,1.0881,2.1722
52.4000,104.1491,1.1940,2.1555
52.5000,104.3872,1.3107,2.1394
52.6000,104.5991,1.4390,2.1240
52.7000,104.7821,1.5803,2.1092
52.8000,104.9335,1.7357,2.0951
52.9000,105.0501,1.9067,2.0818
53.0000,105.1286,2.0947,2.0694
53.1000,105.1653,2.3015,2.0578
53.2000,105.1564,2.5286,2.0472
53.3000,105.0976,2.7782,2.0376
53.4000,104.9843,3.0521,2.0291
53.5000,104.8118,3.3525,2.0218
53.6000,104.5747,3.6818,2.0158
53.7000,104.2677,4.0423,2.0112
53.8000,103.8850,4.4366,2.0082
53.9000,103.4206,4.8674,2.0067
54.0000,102.8682,5.3372,2.0071
54.1000,102.2215,5.8489,2.0095
54.2000,101.4740,6.4051,2.0140
54.3000,100.6193,7.0087,2.0209
54.4000,99.6511,7.6621,2.0303
54.5000,98.5632,8.3677,2.0426
54.6000,97.3501,9.1278,2.0580
54.7000,96.0066,9.9441,2.0767
54.8000,94.5284,10.8180,2.0991
54.9000,92.9122,11.7504,2.1257
55.0000,91.1558,12.7415,2.1567
55.1000,89.2585,13.7907,2.1926
55.2000,87.2211,14.8967,2.2339
55.3000,85.0461,16.0572,2.2812
55.4000,82.7382,17.2689,2.3350
55.5000,80.3037,18.5275,2.3960
55.6000,77.7513,19.8276,2.4649
55.7000,75.0915,21.1630,2.5425
55.8000,72.3371,22.5263,2.6296
55.9000,69.5021,23.9094,2.7272
56.0000,66.6025,25.3034,2.8363
56.1000,63.6553,26.6989,2.9579
56.2000,60.6784,28.0862,3.0934
56.3000,57.6899,29.4555,3.2440
56.4000,54.7083,30.7969,3.4112
56.5000,51.7513,32.1011,3.5966
56.6000,48.8359,33.3591,3.8017
56.7000,45.9780,34.5627,4.0285
56.8000,43.1921,35.7046,4.2788
56.9000,40.4906,36.7782,4.5547
57.0000,37.8845,37.7782,4.8585
57.1000,35.3826,38.7002,5.1925
57.2000,32.9917,39.5409,5.5593
57.3000,30.7168,40.2980,5.9615
57.4000,28.5611,40.9701,6.4020
57.5000,26.5261,41.5566,6.8836
57.6000,24.6117,42.0577,7.4096
57.7000,22.8167,42.4744,7.9831
57.8000,21.1385,42.8080,8.6074
57.9000,19.5739,43.0602,9.2859
58.0000,18.1188,43.2334,10.0222
